,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
123,South Africa,0.016086541632114898,0.0003176323506978101,0.0068017723270396655,0.008967136954377423,0.20038045475223504,5.52,27.0,6.2,0.5842437242891768,1.1075310681581474,1.691774792447324,58558.267,1
124,Spain,0.4783769665613692,0.05665345123675823,0.28660937759899685,0.13511413772561406,0.0994034868802674,7.17,27.1,1.0,3.9661138843491615,5.9778249174279905,9.943938801777152,46736.782,2
125,Sri Lanka,0.003972099820791237,4.220649160226816e-05,0.0012192986462877468,0.0027105946829012214,0.19709315437801975,10.68,5.4,9.0,1.334405128107488,2.1119471852350062,3.4463523133424943,21323.734,1
126,Sudan,0.002718785313990623,0.0001494864777451889,0.0002779514195574606,0.0022913474166879736,0.4313879506373377,15.67,7.4,20.1,0.503928259383891,0.6189394181990955,1.1228676775829864,42813.237000000016,1
127,Suriname,0.001720095706125088,0.00017200957061250878,0.0015480861355125792,0.0,0.2583135134596368,12.54,26.5,8.5,0.985098810897838,1.590228480312644,2.5753272912104817,581.3630000000003,1
128,Sweden,0.25827012917292685,0.032083245859990915,0.04952975626397976,0.17665712704895617,0.13398200658129614,4.79,22.1,1.0,4.018605891300968,5.243837152219359,9.262443043520326,10036.390999999998,2
129,Switzerland,0.35210952024946923,0.021300466829411543,0.3072854231128223,0.023523630307235376,0.09973931791957152,5.59,21.2,1.0,3.703266572083282,5.20575261591266,8.909019187995943,8591.360999999999,2
130,Tanzania,0.000877503585395175,3.620348780608777e-05,0.0003154875365959078,0.0005258125609931796,0.2172881605314864,5.75,7.1,30.7,0.2734277036432829,0.44500465223438185,0.7184323558776647,58005.461,0
131,Thailand,0.004314506187029161,8.043020854648237e-05,0.004002839128911542,0.0002312368495711368,0.10986122190928424,7.04,10.8,7.8,1.9980774020399203,2.8545858741200303,4.8526632761599515,69625.58099999999,1
132,Timor-Leste,0.0018559762435040833,0.0,0.0016239792130660728,0.0002319970304380104,0.33534551814212066,6.86,2.9,24.9,0.5993256619648603,0.7910325414501361,1.3903582034149966,1293.12,0
133,Togo,0.0018930116813667896,0.0001237262536841039,0.001076418407051704,0.0006928670206309818,0.2800328298011765,6.15,7.1,16.1,0.3304480783395046,0.41100624211322456,0.7414543204527293,8082.358999999998,0
